layer,refusal_rate,refusals,total_samples,model,dataset,input_source,run_dir,results_jsonl,summary_json
10,0.925,185,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer10,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer10/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer10/summary.json
11,0.955,191,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer11,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer11/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer11/summary.json
12,0.955,191,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer12,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer12/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer12/summary.json
13,0.965,193,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer13,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer13/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer13/summary.json
14,0.975,195,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer14,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer14/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer14/summary.json
15,0.985,197,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer15,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer15/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer15/summary.json
16,0.995,199,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer16,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer16/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer16/summary.json
17,0.995,199,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer17,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer17/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer17/summary.json
18,0.995,199,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer18,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer18/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer18/summary.json
19,0.995,199,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer19,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer19/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer19/summary.json
20,0.995,199,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer20,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer20/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer20/summary.json
21,0.995,199,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer21,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer21/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer21/summary.json
22,0.995,199,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer22,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer22/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer22/summary.json
23,0.995,199,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer23,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer23/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer23/summary.json
24,0.995,199,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer24,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer24/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer24/summary.json
25,0.995,199,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer25,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer25/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer25/summary.json
26,0.995,199,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer26,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer26/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer26/summary.json
27,0.995,199,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer27,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer27/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer27/summary.json
28,0.995,199,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer28,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer28/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer28/summary.json
29,0.995,199,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer29,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer29/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer29/summary.json
30,0.995,199,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer30,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer30/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer30/summary.json
31,0.995,199,200,meta-llama/Llama-2-7b-chat-hf,thu-coai/AISafetyLab_Datasets:harmbench:standard,thu-coai/AISafetyLab_Datasets,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer31,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer31/results.jsonl,./outputs/llama_harmbench/meta-llama-Llama-2-7b-chat-hf_AISafetyLab_Datasets_harmbench_standard_layer31/summary.json
